date,Tag,trt,dmg,node,PH,PD,FlC,FrC,EFN ct,EFN score,Notes,
6/29/2026,17,b,11.95238095,"3,5,6",165,21,4,14,"16,8","2,1",,
6/29/2026,14,r,5.454545455,"1,2",101,15,1,5,6,1,,
6/29/2026,18,w,1.785714286,"1,2,4",128,23,3,5,"10,6","2,1",,
6/29/2026,2,b,4.411764706,"2,4",136,22,4,7,"14,4","2,1",,
6/29/2026,13,w,6.25,2,61,10,1,2,4,1,,
6/29/2026,10,r,5,"1,2",74,12,1,5,5,1,,
6/29/2026,24,w,12.72727273,"1,3,4",84,10,1,2,8,1,,
6/29/2026,13,b,,,92,8,1,3,8,1,,
6/29/2026,21,r,5,"1,3",104,7,1,6,4,1,,
6/29/2026,11,b,5,"1,2,5",110,6,,5,"2,6","2,1",,
6/29/2026,15,w,2.5,2,68,10,1,2,4,1,,
6/29/2026,11,r,2.142857143,"3,4",68,5,1,2,4,1,,
6/29/2026,1,w,3.333333333,"2,4",68,16,1,4,"2,9","2,1",,
6/29/2026,24,r,3.461538462,"3,4",106,12,1,7,6,1,,
6/29/2026,14,b,3.5,"3,6",115,12,2,6,"2,3","2,1",,
6/29/2026,14,w,8.333333333,"2,3",65,12,,2,7,1,,
6/29/2026,10,b,7.222222222,"2,3,4",109,25,4,5,"6,5","2,1",,
6/29/2026,12,b,8.333333333,2,100,16,1,4,12,1,,
6/29/2026,18,r,,,45,10,2,,,,,
6/29/2026,1,r ,6.25,4,63,9,,1,6,1,,
6/29/2026,2,r ,,,56,4,1,1,4,1,,
6/29/2026,3,r ,9.37,"1,3,5",98,8,,3,5,1,,
6/29/2026,4,w,16.87,"1,3,4",47,3,,1,,,,
6/29/2026,5,r ,6,"1,3,4",78,9,1,2,6,1,,
6/29/2026,6,w,0.71,"1,2,3",34,6,,,,,,
6/29/2026,7,r ,0.62,3,42,6,1,1,,,,
6/29/2026,8,w,,,46,8,1,,4,1,,
6/29/2026,9,w,5.5,"3,4,5",92,12,1,6,12,1,,
6/29/2026,11,w,9.37,3,38,5,1,1,2,1,,
6/29/2026,12,r ,,,70,7,1,1,,,,
6/29/2026,15,b,6.66,4,84,11,1,3,7,1,,
6/29/2026,16,b,13.33,1,44,6,,1,,,,
6/29/2026,18,b,,,64,16,1,1,8,1,,
6/29/2026,19,b,13.75,"1,2,3,4,5",123,16,2,5,"6,8","2,1",,
6/29/2026,20,w,,,55,12,,1,,,,
6/29/2026,21,b,0.62,1,58,7,1,1,4,1,,
6/29/2026,22,r ,0.6,4,52,7,1,1,,,,
6/29/2026,23,r ,0.71,"1,2",65,12,1,1,,,,
6/29/2026,24,b,1.6,"3,4",65,19,1,4,8,1,,
6/29/2026,2,w,9.44,"2,3",71,12,1,2,4,1,,
6/29/2026,3,b,1.25,2,35,10,1,1,6,1,,
6/29/2026,4,r ,10.55,"1,3,4",31,4,,1,,,,
6/29/2026,5,b,3.75,"1,2,3",56,15,1,,4,1,,
6/29/2026,6,r ,,,64,10,1,1,4,1,,
6/29/2026,7,b,10.83,"2,3,4",49,16,,3,6,1,,
6/29/2026,8,b,1,4,86,34,1,2,"4,8","2,1",,
6/29/2026,9,b,3.12,"2,4",69,22,1,3,4,1,,
6/29/2026,10,r ,0.83,1,135,14,2,5,14,1,,
6/29/2026,15,r ,8.7,"3,4,5",72,15,1,2,7,1,,
6/29/2026,16,r ,,,47,14,1,1,,,,
6/29/2026,17,w,17.5,"3,4",34,13,1,,,,,
6/29/2026,19,w,8.75,"2,3",76,21,1,2,4,1,,
6/29/2026,20,b,14,"1,4",82,9,1,4,8,1,,
6/29/2026,21,w,0.62,1,52,9,1,1,,,,
6/29/2026,22,b,3.75,3,74,14,2,2,8,1,,
6/29/2026,23,w,9.45,"1,4",57,24,1,2,8,1,,
6/29/2026,1,b,12.85,2,64,27,1,1,2,1,,
6/29/2026,3,w,,,65,10,,1,,,,
6/29/2026,4,b,1.5,1,82,23,2,3,"6,2","2,1",,
6/29/2026,5,w,,,85,27,2,3,4,1,,
6/29/2026,6,b,1.25,1,47,20,1,1,,,,
6/29/2026,7,w,17,"1,2,3",52,26,,1,6,1,,
6/29/2026,8,r ,0.62,3,52,18,1,1,4,1,,
6/29/2026,9,r ,12.85,2,49,8,,1,,,,
6/29/2026,10,w,2.5,"3,4",67,18,2,2,10,1,,
6/29/2026,12,w,15,1,39,13,1,1,,,,
6/29/2026,13,r ,,,75,28,1,4,4,1,,
6/29/2026,16,w,,,49,15,,1,,,,
6/29/2026,17,r ,1.25,"1,4",68,14,,2,,,,
6/29/2026,19,r ,1.25,4,72,25,1,2,6,1,,
6/29/2026,20,r ,1.87,2,81,22,1,1,6,1,,
6/29/2026,22,w,0.87,1,37,10,,1,,,,
6/29/2026,23,b,,,92,30,2,2,8,1,,
