date,trt,tag,water,temp,Perm,Cond,Pore,,
6/29/2026,r,1,34,11.1,19.6,95,487,,
6/29/2026,r,2,35.2,10.1,20.6,95,458,,
6/29/2026,r,3,31.7,10.3,17.9,97,560,,
6/29/2026,r,4,30.2,8.7,16.7,95,597,,
6/29/2026,r,5,36.5,11.2,21.6,96,435,,
6/29/2026,r,6,29.6,9.9,16.4,81,523,,
6/29/2026,r,7,25.7,11.1,13.8,75,612,,
6/29/2026,r,8,30.3,8.5,16.8,83,518,,
6/29/2026,r,9,32.2,9.6,18.2,92,518,,
6/29/2026,r,10,32.2,12.6,18.2,101,569,,
6/29/2026,r,11,29.2,11.6,16,82,544,,
6/29/2026,r,12,33.1,10.4,18.9,106,569,,
6/29/2026,r,13,31.2,8.8,17.4,89,530,,
6/29/2026,r,14,30.8,13,17.1,92,560,,
6/29/2026,r,15,32.7,8.8,18.5,92,506,,
6/29/2026,r,16,31.3,8.9,17.6,91,537,,
6/29/2026,r,17,34.1,11.2,19.7,87,444,,
6/29/2026,r,18,28.2,11.2,15.4,82,575,,
6/29/2026,r,19,35.2,8.6,20.6,97,468,,
6/29/2026,r,20,30.3,8.5,16.8,83,518,,
6/29/2026,r,21,32.3,12.2,18.2,90,505,,
6/29/2026,r,22,35.7,10.9,20.9,95,448,,
6/29/2026,r,23,21,8.7,11.2,61,681,,
6/29/2026,r,24,31.2,11.4,17.5,80,475,,
6/29/2026,w,1,30,11.4,16.6,97,416,,
6/29/2026,w,2,35.2,10.1,20.6,95,458,,
6/29/2026,w,3,29.6,11.1,16.4,86,556,,
6/29/2026,w,4,27.5,10.3,14.9,95,694,,
6/29/2026,w,5,31.2,8.8,17.4,89,530,,
6/29/2026,w,6,34.5,10.3,20,102,510,,
6/29/2026,w,7,30.7,8.6,17.1,86,525,,
6/29/2026,w,8,34,11.1,19.6,95,486,,
6/29/2026,w,9,36.5,11.2,21.6,96,435,,
6/29/2026,w,10,30.7,8.6,17.1,86,525,,
6/29/2026,w,11,33.7,11.2,19.4,95,494,,
6/29/2026,w,12,31.7,8.5,17.9,93,537,,
6/29/2026,w,13,33.2,14.6,18.9,105,562,,
6/29/2026,w,14,24.2,11.2,12.9,71,636,,
6/29/2026,w,15,35.8,11.7,21,101,474,,
6/29/2026,w,16,30.5,8.8,16.9,100,618,,
6/29/2026,w,17,25.2,8.8,13.5,79,664,,
6/29/2026,w,18,31.8,14.2,17.9,86,495,,
6/29/2026,w,19,37.4,15.2,22.4,97,421,,
6/29/2026,w,20,33.1,10.4,18.9,106,569,,
6/29/2026,w,21,31.3,8.9,17.6,91,537,,
6/29/2026,w,22,25.9,9,14,77,619,,
6/29/2026,w,23,30.3,8.7,16.9,91,566,,
6/29/2026,w,24,34.9,12.3,20.3,111,544,,
6/29/2026,b ,1,31.7,8.5,17.8,93,532,,
6/29/2026,b ,2,31.8,14.2,17.9,86,495,,
6/29/2026,b ,3,29.6,9.9,16.4,81,524,,
6/29/2026,b ,4,34.2,8.5,19.8,94,477,,
6/29/2026,b ,5,25.9,9,14,77,619,,
6/29/2026,b ,6,31.2,8.8,17.4,89,530,lost one leaf during trimming,
6/29/2026,b ,7,32.4,8.2,18.3,95,530,,
6/29/2026,b ,8,35.2,8.6,20.6,97,468,,
6/29/2026,b ,9,34.1,11.2,19.7,87,444,,
6/29/2026,b ,10,32.4,11.2,18.7,87,471,,
6/29/2026,b ,11,36.5,12,21.7,106,479,,
6/29/2026,b ,12,32.4,11.2,18.7,87,471,,
6/29/2026,b ,13,32.3,12.2,18.2,90,505,,
6/29/2026,b ,14,32.9,11.3,18.7,93,505,,
6/29/2026,b ,15,32.2,9.6,18.2,92,518,,
6/29/2026,b ,16,35.1,11.2,20.5,92,446,,
6/29/2026,b ,17,31.8,13.3,17.9,90,518,,
6/29/2026,b ,18,33,9.6,18.8,92,497,,
6/29/2026,b ,19,35.7,10.9,20.9,95,448,lost two leaves during trimming,
6/29/2026,b ,20,30.2,8.7,16.7,95,597,,
6/29/2026,b ,21,29.6,10.4,16.4,85,550,,
6/29/2026,b ,22,32.1,9.7,18.1,104,588,,
6/29/2026,b ,23,31.7,8.5,17.9,93,537,,
6/29/2026,b ,24,32,11.2,18.1,93,529,,
